,text,ttext,nstop,wordDef
20,i’m so glad they’re finally locking down to keep all my israeli bbs safe but this is so extra i love it ,"['i', '’m', 'so', 'glad', 'they', '’re', 'finally', 'locking', 'down', 'to', 'keep', 'all', 'my', 'israeli', 'bbs', 'safe', 'but', 'this', 'is', 'so', 'extra', 'i', 'love', 'it']","['’m', 'glad', '’re', 'finally', 'locking', 'to', 'all', 'israeli', 'bbs', 'safe', 'this', 'so', 'extra', 'love']","[{'PRON', 'i'}, {'’m', 'VERB'}, {'ADV', 'so'}, {'glad', 'ADJ'}, {'PRON', 'they'}, {'’re', 'AUX'}, {'ADV', 'finally'}, {'locking', 'VERB'}, {'down', 'ADP'}, {'to', 'PART'}, {'keep', 'VERB'}, {'DET', 'all'}, {'PRON', 'my'}, {'israeli', 'ADJ'}, {'bbs', 'VERB'}, {'safe', 'ADJ'}, {'CCONJ', 'but'}, {'DET', 'this'}, {'VERB', 'is'}, {'ADV', 'so'}, {'extra', 'ADJ'}, {'PRON', 'i'}, {'love', 'VERB'}, {'PRON', 'it'}]"
21,"  in brief, sept15, 2020  via  #قیام_تنها_جوابه … ","['  ', 'in', 'brief', ',', 'sept15', ',', '2020', ' ', 'via', ' ', '#', 'قیام_تنها_جوابه', '…']","['  ', 'brief', ',', 'sept15', ',', '2020', ' ', ' ', '#', 'قیام_تنها_جوابه', '…']","[{'  ', 'SPACE'}, {'in', 'ADP'}, {'brief', 'ADJ'}, {',', 'PUNCT'}, {'NOUN', 'sept15'}, {',', 'PUNCT'}, {'NUM', '2020'}, {' ', 'SPACE'}, {'ADP', 'via'}, {' ', 'SPACE'}, {'#', 'SYM'}, {'PROPN', 'قیام_تنها_جوابه'}, {'PUNCT', '…'}]"
22, help!appeal to help those who were chased by the ccp who knew the truth about wuhan covid-19… ,"[' ', 'help!appeal', 'to', 'help', 'those', 'who', 'were', 'chased', 'by', 'the', 'ccp', 'who', 'knew', 'the', 'truth', 'about', 'wuhan', 'covid-19', '…']","[' ', 'help!appeal', 'help', 'chased', 'ccp', 'who', 'knew', 'the', 'truth', 'wuhan', 'covid-19', '…']","[{' ', 'SPACE'}, {'help!appeal', 'PUNCT'}, {'to', 'PART'}, {'help', 'VERB'}, {'DET', 'those'}, {'PRON', 'who'}, {'were', 'AUX'}, {'chased', 'VERB'}, {'by', 'ADP'}, {'DET', 'the'}, {'NOUN', 'ccp'}, {'PRON', 'who'}, {'VERB', 'knew'}, {'DET', 'the'}, {'NOUN', 'truth'}, {'about', 'ADP'}, {'NOUN', 'wuhan'}, {'ADV', 'covid-19'}, {'PUNCT', '…'}]"
23,"rest well, mary. we'll take it from here. ","['rest', 'well', ',', 'mary', '.', 'we', ""'ll"", 'take', 'it', 'from', 'here', '.']","['rest', ',', 'mary', '.', ""'ll"", 'it', 'here', '.']","[{'rest', 'VERB'}, {'ADV', 'well'}, {',', 'PUNCT'}, {'NOUN', 'mary'}, {'PUNCT', '.'}, {'we', 'PRON'}, {""'ll"", 'AUX'}, {'take', 'VERB'}, {'PRON', 'it'}, {'ADP', 'from'}, {'here', 'ADV'}, {'PUNCT', '.'}]"
24,unconscionable.the trump administration is skipping out on the bill for mailing trump-praising postcards… ,"['unconscionable.the', 'trump', 'administration', 'is', 'skipping', 'out', 'on', 'the', 'bill', 'for', 'mailing', 'trump', '-', 'praising', 'postcards', '…']","['unconscionable.the', 'trump', 'administration', 'skipping', 'on', 'bill', 'mailing', 'trump', '-', 'praising', 'postcards', '…']","[{'DET', 'unconscionable.the'}, {'trump', 'NOUN'}, {'NOUN', 'administration'}, {'AUX', 'is'}, {'skipping', 'VERB'}, {'out', 'ADP'}, {'on', 'ADP'}, {'DET', 'the'}, {'bill', 'NOUN'}, {'for', 'ADP'}, {'mailing', 'VERB'}, {'trump', 'NOUN'}, {'PUNCT', '-'}, {'praising', 'VERB'}, {'postcards', 'NOUN'}, {'PUNCT', '…'}]"
25,cfia scientific studies confirm that domestic poultry and swine do not pose a public health risk of transmitting co… ,"['cfia', 'scientific', 'studies', 'confirm', 'that', 'domestic', 'poultry', 'and', 'swine', 'do', 'not', 'pose', 'a', 'public', 'health', 'risk', 'of', 'transmitting', 'co', '…']","['cfia', 'scientific', 'studies', 'confirm', 'domestic', 'poultry', 'swine', 'not', 'pose', 'public', 'health', 'risk', 'transmitting', 'co', '…']","[{'NOUN', 'cfia'}, {'scientific', 'ADJ'}, {'NOUN', 'studies'}, {'confirm', 'VERB'}, {'that', 'SCONJ'}, {'domestic', 'ADJ'}, {'NOUN', 'poultry'}, {'and', 'CCONJ'}, {'swine', 'NOUN'}, {'AUX', 'do'}, {'not', 'PART'}, {'VERB', 'pose'}, {'DET', 'a'}, {'public', 'ADJ'}, {'NOUN', 'health'}, {'NOUN', 'risk'}, {'of', 'ADP'}, {'transmitting', 'VERB'}, {'NOUN', 'co'}, {'PUNCT', '…'}]"
26,this is not fair        … ,"['this', 'is', 'not', 'fair', '       ', '…']","['is', 'fair', '       ', '…']","[{'DET', 'this'}, {'AUX', 'is'}, {'not', 'PART'}, {'fair', 'ADJ'}, {'SPACE', '       '}, {'PUNCT', '…'}]"
27,cdc dir today: a covid19 vaccines in a year or more away. trump stop lyinggg. ,"['cdc', 'dir', 'today', ':', 'a', 'covid19', 'vaccines', 'in', 'a', 'year', 'or', 'more', 'away', '.', 'trump', 'stop', 'lyinggg', '.']","['cdc', 'dir', 'today', ':', 'covid19', 'vaccines', 'a', 'year', 'more', 'away', '.', 'trump', 'stop', 'lyinggg', '.']","[{'NOUN', 'cdc'}, {'NOUN', 'dir'}, {'NOUN', 'today'}, {'PUNCT', ':'}, {'DET', 'a'}, {'NOUN', 'covid19'}, {'NOUN', 'vaccines'}, {'in', 'ADP'}, {'DET', 'a'}, {'year', 'NOUN'}, {'CCONJ', 'or'}, {'ADV', 'more'}, {'ADV', 'away'}, {'PUNCT', '.'}, {'trump', 'NOUN'}, {'NOUN', 'stop'}, {'NOUN', 'lyinggg'}, {'PUNCT', '.'}]"
28, respect your policies. refund your clients instead of offering vouchers    ,"[' ', 'respect', 'your', 'policies', '.', 'refund', 'your', 'clients', 'instead', 'of', 'offering', 'vouchers', '   ']","[' ', 'respect', 'policies', '.', 'refund', 'clients', 'instead', 'offering', 'vouchers', '   ']","[{' ', 'SPACE'}, {'VERB', 'respect'}, {'your', 'PRON'}, {'NOUN', 'policies'}, {'PUNCT', '.'}, {'refund', 'VERB'}, {'your', 'PRON'}, {'NOUN', 'clients'}, {'instead', 'ADV'}, {'of', 'ADP'}, {'offering', 'VERB'}, {'vouchers', 'NOUN'}, {'SPACE', '   '}]"
29," records 2,717 new  cases and 78 deaths, taking the total number of cases to 87,184 ","[' ', 'records', '2,717', 'new', ' ', 'cases', 'and', '78', 'deaths', ',', 'taking', 'the', 'total', 'number', 'of', 'cases', 'to', '87,184']","[' ', 'records', '2,717', 'new', ' ', 'cases', '78', 'deaths', ',', 'taking', 'total', 'number', 'cases', '87,184']","[{' ', 'SPACE'}, {'records', 'VERB'}, {'NUM', '2,717'}, {'new', 'ADJ'}, {' ', 'SPACE'}, {'cases', 'NOUN'}, {'and', 'CCONJ'}, {'78', 'NUM'}, {'NOUN', 'deaths'}, {',', 'PUNCT'}, {'taking', 'VERB'}, {'DET', 'the'}, {'total', 'ADJ'}, {'number', 'NOUN'}, {'of', 'ADP'}, {'cases', 'NOUN'}, {'to', 'ADP'}, {'NUM', '87,184'}]"
